iter	RMSE
685	3.479164276
686	3.476945309
687	3.474548704
688	3.473342016
689	3.47316565
690	3.473057126
691	3.470591207
692	3.47036359
693	3.469246794
694	3.468267644
695	3.4677566
696	3.464930665
697	3.460104719
698	3.459161004
699	3.458435456
700	3.457119731
701	3.454686873
702	3.452709322
703	3.450394484
704	3.449130465
705	3.447721374
706	3.444081908
707	3.442812947
708	3.440527453
709	3.439410272
710	3.437547313
711	3.43563881
712	3.435389551
713	3.434659003
714	3.432657417
715	3.431029266
716	3.430828438
717	3.428540336
718	3.42825205
719	3.426391536
720	3.424162314
721	3.421536373
722	3.419546572
723	3.415175164
724	3.414162595
725	3.410855893
726	3.409476459
727	3.408710349
728	3.407459816
729	3.40557618
730	3.405331582
731	3.401346496
732	3.398912716
733	3.398749261
734	3.398622457
735	3.398518182
736	3.395697809
737	3.391508274
738	3.389482222
739	3.386434903
740	3.384187191
741	3.381215433
742	3.380444674
743	3.380021457
744	3.379267679
745	3.377022321
746	3.373855056
747	3.372424707
748	3.371535673
749	3.369970707
750	3.367283218
751	3.366086256
752	3.365362131
753	3.36343529
754	3.359574026
755	3.357606758
756	3.35456149
757	3.354178308
758	3.351918486
759	3.350967032
760	3.348660224
761	3.34786782
762	3.346895655
763	3.3428986
764	3.342460367
765	3.340167893
766	3.337329049
767	3.33476332
768	3.332904391
769	3.329267513
770	3.328465351
771	3.327000186
772	3.325521382
773	3.32533496
774	3.32290203
775	3.322709749
776	3.321874313
777	3.31906418
778	3.31664722
779	3.314331203
780	3.314057423
781	3.309909845
782	3.307498527
783	3.306503221
784	3.305223644
785	3.302408981
786	3.299405898
787	3.296790422
788	3.296695585
789	3.295985903
790	3.292409741
791	3.290349355
792	3.287968737
793	3.284681316
794	3.284028784
795	3.283934537
796	3.282803077
797	3.282301364
798	3.280203147
799	3.278071173
800	3.274314935
801	3.273625821
802	3.273005528
803	3.271900571
804	3.270443245
805	3.269810654
806	3.266924902
807	3.265483333
808	3.26540053
809	3.263782567
810	3.263053127
811	3.261103596
812	3.259603274
813	3.256904191
814	3.255647206
815	3.254543081
816	3.252710299
817	3.251179008
818	3.249444947
819	3.246396132
820	3.245060645
821	3.24266104
822	3.240276734
823	3.238749382
824	3.236907357
825	3.23625805
826	3.234538863
827	3.231466428
828	3.230664189
829	3.228629075
830	3.226841609
831	3.226751585
832	3.225536163
833	3.223790499
834	3.221502381
835	3.219165704
836	3.218192643
837	3.217530189
838	3.214828128
839	3.21463214
840	3.213700998
841	3.211883532
842	3.211195173
843	3.210157392
844	3.208390148
845	3.208310451
846	3.207277366
847	3.202991776
848	3.199517058
849	3.1976619
850	3.196217835
851	3.195263517
852	3.19458007
853	3.19326266
854	3.192307486
855	3.189267613
856	3.186889792
857	3.185278495
858	3.185074108
859	3.182849561
860	3.181213362
861	3.18005616
862	3.180017802
863	3.179068784
864	3.176786055
865	3.175242446
866	3.173132221
867	3.171343542
868	3.169800064
869	3.169725515
870	3.167257318
871	3.16515982
872	3.163394006
873	3.160433411
874	3.158031388
875	3.157877199
876	3.155614482
877	3.154788549
878	3.154047414
879	3.151440699
880	3.149154847
881	3.148968293
882	3.147928619
883	3.145239024
884	3.145167283
885	3.142914975
886	3.140799088
887	3.140672005
888	3.137879917
889	3.136171027
890	3.134026146
891	3.133892566
892	3.13374263
893	3.132749346
894	3.132038212
895	3.13041067
896	3.130016068
897	3.129038484
898	3.128062771
899	3.125332495
900	3.12500639
901	3.123817183
902	3.1236392
903	3.122526193
904	3.121277769
905	3.119579519
906	3.118449344
907	3.115663161
908	3.112134818
909	3.111598443
910	3.109419067
911	3.107300163
912	3.105944687
913	3.104459135
914	3.103316689
915	3.102550545
916	3.10167679
917	3.100741895
918	3.099154785
919	3.09798364
920	3.096023173
921	3.094288515
922	3.092326314
923	3.091701347
924	3.089177912
925	3.088857861
926	3.085367212
927	3.083760642
928	3.082361814
929	3.079964519
930	3.079900829
931	3.076950663
932	3.076085668
933	3.074124875
934	3.072540833
935	3.071533841
936	3.068895852
937	3.067063405
938	3.06696086
939	3.064712333
940	3.062041213
941	3.060915202
942	3.05885588
943	3.055347102
944	3.055247276
945	3.054826853
946	3.051624162
947	3.049685332
948	3.047317504
949	3.04710064
950	3.046298252
951	3.044238685
952	3.043281053
953	3.042783711
954	3.041968796
955	3.040116038
956	3.039291348
957	3.038238645
958	3.037883808
959	3.035555
960	3.034849052
961	3.034389846
962	3.03366616
963	3.031588607
964	3.028886263
965	3.028503288
966	3.026332113
967	3.025720774
968	3.024252017
969	3.023845564
970	3.023399384
971	3.021277011
972	3.021198153
973	3.020475904
974	3.019631495
975	3.017691791
976	3.015653155
977	3.014961458
978	3.013793816
979	3.012730472
980	3.011548531
981	3.008681854
982	3.006148861
983	3.004786168
984	3.004325326
985	3.001720671
986	3.000989533
987	3.0004016
988	2.999544499
989	2.998395867
990	2.996821277
991	2.995958303
992	2.995089694
993	2.993265653
994	2.991880095
995	2.989725077
996	2.986923065
997	2.985043945
998	2.983889741
999	2.980606063
