iter	Passed	Remaining
429	1666	2209
430	1669	2203
431	1672	2198
432	1674	2193
433	1677	2187
434	1681	2183
435	1683	2177
436	1686	2172
437	1688	2166
438	1691	2161
439	1696	2158
440	1698	2153
441	1702	2148
442	1704	2143
443	1707	2137
444	1710	2132
445	1714	2129
446	1717	2124
447	1719	2118
448	1722	2113
449	1726	2109
450	1728	2104
451	1731	2098
452	1733	2093
453	1736	2088
454	1739	2083
455	1742	2079
456	1745	2073
457	1747	2067
458	1749	2061
459	1751	2056
460	1754	2051
461	1757	2046
462	1760	2041
463	1762	2036
464	1765	2031
465	1768	2026
466	1772	2023
467	1774	2017
468	1776	2011
469	1778	2005
470	1780	2000
471	1783	1994
472	1790	1994
473	1792	1989
474	1795	1984
475	1797	1978
476	1800	1973
477	1805	1971
478	1807	1966
479	1810	1961
480	1813	1956
481	1815	1951
482	1821	1949
483	1824	1944
484	1826	1939
485	1829	1934
486	1835	1933
487	1838	1928
488	1841	1923
489	1843	1918
490	1846	1913
491	1850	1911
492	1853	1906
493	1868	1914
494	1871	1909
495	1873	1904
496	1876	1899
497	1879	1894
498	1882	1890
499	1884	1884
500	1886	1879
501	1889	1873
502	1891	1868
503	1893	1862
504	1896	1859
505	1899	1854
506	1901	1849
507	1903	1843
508	1905	1838
509	1908	1833
510	1911	1829
511	1913	1823
512	1915	1818
513	1917	1813
514	1919	1807
515	1921	1802
516	1924	1797
517	1927	1793
518	1929	1788
519	1932	1783
520	1934	1778
521	1937	1774
522	1941	1770
523	1944	1766
524	1946	1761
525	1949	1756
526	1952	1752
527	1960	1752
528	1962	1747
529	1965	1742
530	1967	1738
531	1970	1733
532	1974	1729
533	1976	1724
534	1979	1720
535	1981	1715
536	1984	1710
537	1993	1711
538	1996	1707
539	1998	1702
540	2005	1701
541	2008	1697
542	2011	1693
543	2014	1688
544	2016	1683
545	2021	1680
546	2023	1676
547	2026	1671
548	2029	1667
549	2031	1662
550	2036	1659
551	2038	1654
552	2042	1650
553	2044	1645
554	2046	1640
555	2050	1637
556	2053	1633
557	2055	1628
558	2058	1623
559	2061	1619
560	2064	1615
561	2067	1611
562	2070	1606
563	2072	1602
564	2075	1597
565	2077	1593
566	2081	1589
567	2083	1584
568	2086	1580
569	2089	1576
570	2091	1571
571	2094	1567
572	2098	1563
573	2101	1559
574	2103	1554
575	2106	1550
576	2108	1546
577	2112	1542
578	2115	1537
579	2117	1533
580	2120	1529
581	2122	1524
582	2125	1520
583	2128	1516
584	2131	1511
585	2133	1507
586	2136	1503
587	2138	1498
588	2142	1494
589	2144	1490
590	2147	1486
591	2150	1481
592	2153	1477
593	2155	1473
594	2159	1470
595	2162	1465
596	2164	1461
597	2167	1457
598	2169	1452
599	2173	1448
600	2175	1444
601	2178	1440
602	2180	1435
603	2183	1431
604	2186	1427
605	2190	1424
606	2192	1419
607	2194	1415
608	2197	1410
609	2199	1406
610	2204	1403
611	2206	1399
612	2209	1394
613	2212	1390
614	2214	1386
615	2221	1385
616	2224	1380
617	2227	1376
618	2229	1372
619	2233	1368
620	2236	1364
621	2239	1360
622	2241	1356
623	2244	1352
624	2250	1350
625	2253	1346
626	2255	1342
627	2258	1337
628	2261	1333
629	2267	1331
630	2270	1327
631	2273	1323
632	2275	1319
633	2278	1315
634	2281	1311
635	2284	1307
636	2286	1303
637	2289	1299
638	2292	1294
639	2298	1292
640	2300	1288
641	2302	1283
642	2304	1279
643	2306	1275
644	2308	1270
